time,sex,country_code,age_group,activity_rate,employment,employment_pop_rate,informal_employment,informal_employment_rate,labor_force_pop,longterm_ue,NEETrate,unemployment,unemployment_rate,working_age_pop,Registered Jobseeker
2017,Female,SRB,15 - 64,59.64,1176.348,50.83,,,1380.205,121.398,,203.857,14.77,2314.223,
2017,Female,SRB,15+,46.29,1229.54,39.68,281.963,22.9,1434.27,121.882,,204.731,14.27,3098.293,
2017,Male,ALB,15 - 24,37.49,60.101,24.86,36.014,59.9,90.623,16.128,25.1,30.521,33.68,241.714,
2017,Male,ALB,15 - 64,75.47,649.176,64.2,,,763.117,73.863,,113.941,14.93,1011.131,
2017,Male,BIH,15 - 24,39.7,42.1,22.58,13.549,32.2,74.003,18.236,24.7,31.904,43.11,186.409,
2017,Male,BIH,15 - 64,65.18,491.66,52.56,,,609.712,84.965,,118.053,19.36,935.401,
2017,Male,BIH,15+,52.69,508.88,42.75,121.959,24,627.224,85.256,,118.344,18.87,1190.458,
2017,Male,KOS,15 - 24,32.31,30.16,16.67,,,58.458,,,28.297,48.41,180.941,
2017,Male,KOS,15 - 64,65.29,281.58,46.59,,,394.651,,,113.07,28.65,604.441,
2017,Male,KOS,15+,57.3,284.096,41,,,397.474,,,113.377,28.5,693.072,
2017,Male,MKD,15 - 24,41.65,31.001,22.6,8.855,29,57.143,19.339,24.4,26.141,45.75,137.189,
2017,Male,MKD,15 - 64,78.44,445.548,60.46,,,577.99,102.535,,132.442,22.91,736.895,
2017,Male,MKD,15+,67.66,450.247,52.28,83.11,18.5,582.755,102.569,,132.508,22.74,861.264,
2017,Male,MNE,15 - 24,34.4,10.609,23.85,,,15.301,3.241,16.3,4.692,30.66,44.474,
2017,Male,MNE,15 - 64,70.5,125.3,59.4,,,148.7,18.5,,23.3,15.7,211,
2017,Male,SRB,15 - 24,36.83,99.354,26.08,36.037,36.3,140.293,19.085,17.5,40.939,29.18,380.894,
2017,Male,SRB,15 - 64,73.81,1471.568,63.86,,,1700.773,140.756,,229.205,13.48,2304.28,
2017,Male,SRB,15+,62.21,1565.119,54.22,323.11,20.6,1795.69,141.562,,230.571,12.84,2886.41,
2017,Total,ALB,15 - 24,31.61,95.547,21.62,49.779,52.1,139.709,21.416,26.2,44.162,31.61,441.91,
2017,Total,ALB,15 - 64,66.55,1147.812,57.24,,,1334.395,124.589,,186.583,13.98,2005.166,
2017,Total,BIH,15 - 24,32.19,59.61,17.44,19.441,32.6,110.005,28.236,24.5,50.395,45.81,341.75,
2017,Total,BIH,15 - 64,53.94,786.092,42.56,,,996.203,155.108,,210.111,21.09,1846.824,
2017,Total,KOS,15 - 24,23.7,38.736,11.2,,,81.98,,,43.243,52.75,345.895,
2017,Total,KOS,15 - 64,42.8,357.095,29.75,,,513.678,,,156.582,30.48,1200.163,
2017,Total,KOS,15+,37.2,360.141,25.9,,,517.031,,,156.889,30.3,1388.661,
2017,Total,MKD,15 - 24,32.78,46.51,17.46,12.762,27.9,87.308,29.186,25.6,40.798,46.73,266.325,
2017,Total,MKD,15 - 64,65.25,733.371,50.54,,,946.841,166.168,,213.471,22.55,1451.004,
2017,Total,MNE,15 - 24,31.2,18.328,21.31,,,26.832,5.759,16.7,8.505,31.7,85.988,
2017,Total,MNE,15 - 64,63.5,223.9,53.1,,,267.7,33.8,,43.8,16.4,421.7,
2017,Total,SRB,15 - 24,30.64,154.394,20.86,51.88,33.6,226.74,30.926,17.6,72.346,31.91,740.042,
2017,Total,SRB,15 - 64,66.71,2647.916,57.33,,,3080.977,262.154,,433.062,14.06,4618.503,
2017,Total,SRB,15+,53.97,2794.659,46.7,605.073,21.7,3229.96,263.444,,435.302,13.48,5984.703,
2018,Female,ALB,15 - 24,27.49,45.487,20.4,23.34,51.3,61.299,7.292,27.8,15.813,25.8,222.994,
2018,Female,ALB,15 - 64,59.61,518.837,52.29,,,591.478,51.262,,72.641,12.28,992.213,
2018,Female,BIH,15 - 24,23.01,20.212,12.55,4.956,24.5,37.057,9.018,21.7,16.846,45.46,161.036,
2018,Female,BIH,15 - 64,41.71,295.388,32.96,,,373.797,59.981,,78.409,20.98,896.159,
2018,Female,BIH,15+,31.37,307.349,24.99,68.671,22.3,385.758,59.981,,78.409,20.33,1229.781,
2018,Female,KOS,15 - 24,14.04,7.951,4.95,,,22.55,,,14.6,64.75,160.625,
2018,Female,KOS,15 - 64,18.45,73.509,12.29,,,110.34,,,36.832,33.38,598.18,
2018,Female,KOS,15+,15.7,74.005,10.5,,,110.883,,,36.879,33.3,704.166,
2018,Female,MKD,15 - 24,22.48,16.031,12.77,1.859,12.2,28.229,7.811,26.2,12.198,43.21,125.575,
2018,Female,MKD,15 - 64,52.18,296.839,41.71,,,371.352,56.684,,74.513,20.07,711.719,
2018,Female,MKD,15+,43.04,300.539,34.49,36.987,12.6,375.052,56.684,,74.513,19.87,871.504,
2018,Female,MNE,15 - 24,26.97,8.512,20.61,,,11.137,1.401,13.7,2.625,23.57,41.296,
2018,Female,MNE,15 - 64,57.2,102.1,48.4,,,120.5,13.2,,17.4,15.3,210.9,
2018,Female,SRB,15 - 24,23.31,55.877,15.84,15.454,27.7,82.219,10.669,17.5,26.342,32.04,352.662,
2018,Female,SRB,15 - 64,60.61,1188.955,52,,,1385.787,115.143,,196.833,14.2,2286.276,
2018,Female,SRB,15+,46.69,1242.075,40.29,256.817,20.7,1439.25,115.225,,197.176,13.7,3082.578,
2018,Male,ALB,15 - 24,43.34,72.952,30.55,45.998,63.1,103.49,15.981,25.5,30.538,29.51,238.782,
2018,Male,ALB,15 - 64,76.73,654.261,66.63,,,753.458,66.2,,99.197,13.17,981.997,
2018,Male,BIH,15 - 24,40.2,47.057,25.95,12.529,26.6,72.899,15.057,22.6,25.842,35.45,181.354,
2018,Male,BIH,15 - 64,65.93,499.783,54.34,,,606.392,79.489,,106.61,17.58,919.776,
2018,Male,BIH,15+,52.93,515.097,43.82,113.437,22,622.143,79.763,,107.047,17.21,1175.414,
2018,Male,KOS,15 - 24,30.07,25.812,14.6,,,53.175,,,27.363,51.46,176.809,
2018,Male,KOS,15 - 64,63.28,271.622,45.26,,,379.763,,,108.14,28.48,600.094,
2018,Male,KOS,15+,54.9,274.146,39.3,,,382.411,,,108.264,28.3,697.147,
2018,Male,MKD,15 - 24,40.63,28.98,21.7,8.312,29.5,54.253,16.235,24.1,25.273,46.58,133.54,
2018,Male,MKD,15 - 64,78.27,451.187,61.41,,,575.074,91.234,,123.887,21.54,734.694,
2018,Male,MKD,15+,67.47,458.491,53.1,84.039,18.4,582.541,91.354,,124.05,21.29,863.448,
2018,Male,MNE,15 - 24,38.33,11.362,25.58,,,17.025,2.836,18.7,5.663,33.26,44.416,
2018,Male,MNE,15 - 64,72.3,129,61,,,152.8,17.8,,23.9,15.6,211.5,
2018,Male,SRB,15 - 24,36.3,97.442,26.02,29.469,30.2,135.923,17.443,16.5,38.481,28.31,374.426,
2018,Male,SRB,15 - 64,75.06,1495.375,65.62,,,1710.551,130.02,,215.177,12.58,2278.766,
2018,Male,SRB,15+,62.86,1589.761,55.34,304.077,19.1,1805.762,130.541,,216.001,11.96,2872.527,
2018,Total,ALB,15 - 24,35.69,118.438,25.65,69.338,58.5,164.789,23.273,26.6,46.351,28.13,461.776,
2018,Total,ALB,15 - 64,68.13,1173.098,59.42,,,1344.936,117.462,,171.838,12.78,1974.209,
2018,Total,BIH,15 - 24,32.11,67.269,19.65,17.485,26,109.956,24.075,22.1,42.687,38.82,342.389,
2018,Total,BIH,15 - 64,53.98,795.17,43.79,,,980.189,139.47,,185.019,18.88,1815.935,
2018,Total,KOS,15 - 24,22.44,33.763,10.01,,,75.725,,,41.963,55.41,337.434,
2018,Total,KOS,15 - 64,40.9,345.131,28.8,,,490.103,,,144.972,29.58,1198.274,
2018,Total,KOS,15+,35.2,348.151,24.8,,,493.294,,,145.143,29.4,1401.313,
2018,Total,MKD,15 - 24,31.83,45.011,17.37,10.171,23.5,82.482,24.046,25.1,37.471,45.43,259.115,
2018,Total,MKD,15 - 64,65.43,748.025,51.72,,,946.426,147.918,,198.4,20.96,1446.413,
2018,Total,MNE,15 - 24,32.86,19.874,23.19,,,28.162,4.237,16.3,8.288,29.43,85.712,
2018,Total,MNE,15 - 64,64.7,231.1,54.7,,,273.5,31.8,,42.3,15.5,422.4,
2018,Total,SRB,15 - 24,30,153.319,21.09,44.923,29.3,218.142,28.114,17,64.823,29.72,727.088,
2018,Total,SRB,15 - 64,67.83,2684.329,58.8,,,3096.339,245.163,,412.009,13.31,4565.042,
2018,Total,SRB,15+,54.49,2831.836,47.55,560.894,19.8,3245.013,245.767,,413.177,12.73,5955.105,
2019,Female,ALB,15 - 24,30,49.519,22.25,29.163,58.9,66.783,6.2,25.5,17.264,25.85,222.585,
2019,Female,ALB,15 - 64,61.52,538.428,54.31,,,609.916,46.544,,71.488,11.72,991.364,
